"method","results"
"enet.min",18.6136399914937
"enet.1se",19.8831548033919
"ols",13.6268144024471
"p0.05",10.933035515224
"p0.15",12.4217890207049
"step.aic",14.7338893773634
"step.bic",10.9618909855754
"ridge",12.0153467601976
"lasso.min",11.3491890937433
"lasso.1se",14.9139961544624
"enet.min",12.0300844601019
"enet.1se",14.9139961544624
"ols",21.0463817631284
"p0.05",23.2756740484359
"p0.15",23.1819342902292
"step.aic",21.7693173546928
"step.bic",22.8359099460144
"ridge",20.2747172451354
"lasso.min",21.5541883177061
"lasso.1se",21.9138123689653
"enet.min",21.5541883177061
"enet.1se",21.9138123689653
"ols",19.6760024748973
"p0.05",20.0481500783328
"p0.15",20.3412438029286
"step.aic",19.5449546641734
"step.bic",19.1217566684285
"ridge",18.7613779614559
"lasso.min",18.6253204890963
"lasso.1se",19.9795658723858
"enet.min",18.7529874658645
"enet.1se",19.6016008892989
"ols",24.105079592528
"p0.05",26.4883422068921
"p0.15",26.2484882960689
"step.aic",24.900088461196
"step.bic",26.8639380363625
"ridge",23.6522426827985
"lasso.min",25.6374946601052
"lasso.1se",27.0715980276994
"enet.min",23.7936854295269
"enet.1se",26.7381224787495
"ols",24.0492706933364
"p0.05",23.9686307407667
"p0.15",24.7687809758349
"step.aic",24.2601525084677
"step.bic",24.1975923418734
"ridge",21.4194696506374
"lasso.min",22.338527476561
"lasso.1se",22.0518451530656
"enet.min",21.5745426032872
"enet.1se",21.8023430327531
"ols",16.9692514420693
"p0.05",16.9528640648339
"p0.15",17.1255880790695
"step.aic",16.9878733159535
"step.bic",15.2096758082282
"ridge",15.8142611079992
"lasso.min",15.5674856807074
"lasso.1se",17.2208002315411
"enet.min",15.8213955760823
"enet.1se",17.0502947679826
"ols",13.7748377907042
"p0.05",14.4299040072672
"p0.15",14.3115002347131
"step.aic",15.4974801465231
"step.bic",14.5118494373914
"ridge",14.2707832283761
"lasso.min",15.1512849199834
"lasso.1se",18.3461384393527
"enet.min",14.4790332652622
"enet.1se",18.1301553687277
"ols",20.0530734771786
"p0.05",20.5711666377035
"p0.15",21.4493111234982
"step.aic",20.9256576127813
"step.bic",20.9566764481347
"ridge",19.6094359761697
"lasso.min",20.6536417332686
"lasso.1se",23.0061217152238
"enet.min",19.7409856978659
"enet.1se",21.9373890609881
"ols",25.4197397223191
"p0.05",24.9633899901946
"p0.15",27.3520189746802
"step.aic",26.3419002348119
"step.bic",27.7411009690217
"ridge",24.5028351024996
"lasso.min",25.821689162101
"lasso.1se",26.419865472254
"enet.min",25.0425906642477
"enet.1se",26.3861171814553
"ols",14.3143930959826
"p0.05",16.1628886702617
"p0.15",15.7986904295435
"step.aic",15.3988896084211
"step.bic",15.2139187703953
"ridge",13.8195513663756
"lasso.min",14.4823860555068
"lasso.1se",16.6966373765333
"enet.min",14.1275241759639
"enet.1se",15.977923615715
"ols",21.4650076629623
"p0.05",20.5893792169312
"p0.15",21.6755040378011
"step.aic",22.3788928791852
"step.bic",20.9425340424264
"ridge",21.0445982012611
"lasso.min",21.0721285236472
"lasso.1se",22.478262929158
"enet.min",21.0114278781901
"enet.1se",23.3688181196114
"ols",24.5945676750389
"p0.05",24.2523428716014
"p0.15",24.1620501811585
"step.aic",24.7951333570022
"step.bic",23.6702735493073
"ridge",23.542971216182
"lasso.min",23.6012664349225
"lasso.1se",22.9373118459448
"enet.min",23.5338024691514
"enet.1se",24.072242288692
"ols",21.3576804540092
"p0.05",19.637572526268
"p0.15",21.1792300980326
"step.aic",21.5568276651772
"step.bic",20.147503372938
"ridge",18.4223485961279
"lasso.min",19.0680015317214
"lasso.1se",20.958335504583
"enet.min",18.3488950702499
"enet.1se",20.349572674461
"ols",19.1015781759984
"p0.05",20.5522409376966
"p0.15",22.8123251173547
"step.aic",20.6988054951977
"step.bic",20.0390245729112
"ridge",16.9080445465649
"lasso.min",18.6858119041093
"lasso.1se",18.9698514746551
"enet.min",18.6858119041093
"enet.1se",18.9698514746551
"ols",19.1382899222238
